city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
San Francisco,San Francisco,CA,California,6075,San Francisco,37.7558,-122.4449,3364979,7030.7,shape,False,True,America/Los_Angeles,1,94130 94131 94132 94133 94134 94103 94102 94105 94104 94188 94158 94124 94123 94122 94121 94129 94118 94108 94107 94112 94110 94116 94117 94114 94115 94111 94109 94127 94119 94120 94125 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177,1840021543
Sacramento,Sacramento,CA,California,6067,Sacramento,38.5677,-121.4685,1957738,2049.4,shape,False,True,America/Los_Angeles,1,95821 95820 95823 95838 95832 95833 95831 95834 95835 95811 95814 95815 95818 95819 95828 95822 95825 95824 95826 95816 95817 94203 94204 94205 94209 94229 94230 94232 94235 94236 94237 94239 94240 94244 94247 94248 94249 94250 94252 94254 94256 94257 94258 94259 94261 94262 94263 94267 94268 94269 94271 94273 94274 94277 94278 94279 94280 94283 94284 94285 94287 94288 94289 94290 94293 94294 94295 94296 94297 94298 94299 95812 95813 95840 95851 95852 95853 95867 95894,1840021491
Long Beach,Long Beach,CA,California,6037,Los Angeles,33.7977,-118.167,462293,3522.5,shape,False,True,America/Los_Angeles,2,90822 90804 90805 90806 90807 90802 90803 90808 90831 90814 90813 90810 90815 90840 90801 90809 90832 90833 90842 90844 90846 90847 90848 90853,1840020490
San Bernardino,San Bernardino,CA,California,6071,San Bernardino,34.1416,-117.2943,221041,1373.7,shape,False,True,America/Los_Angeles,2,92404 92369 92401 92407 92405 92408 92411 92410 92415 92346 92403 92406 92413 92418 92423 92427,1840021728
Simi Valley,Simi Valley,CA,California,6111,Ventura,34.2663,-118.749,127568,1172.4,shape,False,True,America/Los_Angeles,2,93063 93065 93062 93094 93099,1840021843
Redondo Beach,Redondo Beach,CA,California,6037,Los Angeles,33.8577,-118.3765,70620,4399.5,shape,False,True,America/Los_Angeles,2,90278 90277,1840020509
Bay Point,Bay Point,CA,California,6013,Contra Costa,38.0329,-121.9615,24407,1466.4,shape,False,False,America/Los_Angeles,3,94565,1840028316
Bystrom,Bystrom,CA,California,6099,Stanislaus,37.6198,-120.9813,3941,2797.6,shape,False,False,America/Los_Angeles,2,95351,1840028337
McGee Creek,McGee Creek,CA,California,6051,Mono,37.5727,-118.791,0,0.1,shape,False,True,America/Los_Angeles,5,93546,1840075938
Denver,Denver,CO,Colorado,8031,Denver,39.762,-104.8758,2687458,1792.9,shape,False,True,America/Denver,1,80264 80266 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80210 80212 80216 80221 80220 80223 80222 80224 80227 80219 80211 80209 80207 80206 80205 80204 80202 80203 80208 80217 80243 80248 80250 80256 80257 80259 80261 80265 80271 80273 80274 80281 80291 80299,1840018789
Aurora,Aurora,CO,Colorado,8005,Arapahoe,39.7083,-104.7237,387349,920.3,shape,False,True,America/Denver,2,80247 80137 80045 80018 80019 80016 80014 80015 80012 80013 80010 80017 80011 80040 80041 80042 80044 80046 80047,1840018794
Greeley,Greeley,CO,Colorado,8123,Weld,40.4152,-104.7706,140984,843.2,shape,False,True,America/Denver,2,80631 80634 80632 80633 80638 80639,1840020149
Highlands Ranch,Highlands Ranch,CO,Colorado,8035,Douglas,39.5419,-104.9708,101514,1615.0,shape,False,False,America/Denver,2,80129 80126 80130 80163,1840028579
Ken Caryl,Ken Caryl,CO,Colorado,8059,Jefferson,39.577,-105.1144,33505,1315.6,shape,False,False,America/Denver,3,80128 80127 80123 80162,1840028580
Wellington,Wellington,CO,Colorado,8069,Larimer,40.7,-105.0054,11163,1187.4,shape,False,True,America/Denver,3,80549,1840022411
Vail,Vail,CO,Colorado,8037,Eagle,39.6385,-106.3613,4833,396.6,shape,False,True,America/Denver,3,81657,1840022434
Dillon,Dillon,CO,Colorado,8117,Summit,39.6213,-106.0393,831,216.0,shape,False,True,America/Denver,3,80435,1840021429
Wolcott,Wolcott,CO,Colorado,8037,Eagle,39.7035,-106.6799,0,11.7,shape,False,False,America/Denver,3,81655,1840024366
Hartford,Hartford,CT,Connecticut,9110,Capitol,41.7661,-72.6834,974684,2689.4,shape,False,True,America/New_York,2,06106 06105 06103 06120 06112 06114 06101 06102 06104 06115 06123 06126 06127 06132 06133 06134 06140 06141 06142 06143 06144 06145 06146 06147 06150 06151 06152 06154 06160 06167 06176 06183,1840004773
New Haven,New Haven,CT,Connecticut,9170,South Central Connecticut,41.3113,-72.9246,565572,2804.1,shape,False,True,America/New_York,2,06519 06511 06510 06513 06512 06515 06501 06502 06503 06505 06506 06507 06508 06509 06520 06521 06530 06531 06532 06533 06534 06535 06536 06540,1840004850
Danbury,Danbury,CT,Connecticut,9190,Western Connecticut,41.4015,-73.4709,180143,794.2,shape,False,True,America/New_York,2,06810 06811 06813,1840004837
Bristol,Bristol,CT,Connecticut,9140,Naugatuck Valley,41.6812,-72.9407,61052,892.9,shape,False,True,America/New_York,3,06010 06011,1840004772
New London,New London,CT,Connecticut,9180,Southeastern Connecticut,41.3502,-72.1022,27596,1900.4,shape,False,True,America/New_York,3,06320,1840004827
Glastonbury Center,Glastonbury Center,CT,Connecticut,9110,Capitol,41.7016,-72.6002,7959,620.4,shape,False,False,America/New_York,3,06033,1840000503
East Village,East Village,CT,Connecticut,9120,Greater Bridgeport,41.3612,-73.1845,4189,248.5,shape,False,False,America/New_York,3,06468 06491,1840044496
Chester Center,Chester Center,CT,Connecticut,9130,Lower Connecticut River Valley,41.4018,-72.4578,1729,249.5,shape,False,True,America/New_York,3,06412,1840073563
Kellogg Point,Kellogg Point,CT,Connecticut,9190,Western Connecticut,41.4681,-73.4597,0,356.9,shape,False,False,America/New_York,3,06812,1840151405
Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5116378,4235.7,shape,False,True,America/New_York,1,20250 20010 20011 20012 20015 20520 20418 20415 20020 20024 20510 20515 20427 20422 20530 20542 20540 20240 20245 20204 20005 20004 20003 20002 20001 20009 20008 20317 20319 20390 20059 20057 20052 20388 20017 20018 20565 20566 20560 20591 20220 20064 20551 20230 20373 20260 20007 20006 20032 20036 20037 20431 20045 20408 20535 20016 20019 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20053 20055 20056 20058 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20202 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20221 20222 20223 20224 20226 20227 20228 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20405 20406 20407 20410 20411 20412 20413 20414 20416 20417 20419 20420 20421 20423 20424 20425 20426 20428 20429 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20506 20507 20508 20509 20511 20521 20522 20523 20524 20525 20526 20527 20528 20529 20531 20533 20534 20536 20537 20538 20539 20541 20543 20544 20546 20547 20548 20549 20552 20553 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20593 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,1840006060
Dover,Dover,DE,Delaware,10001,Kent,39.161,-75.5202,130186,634.2,shape,False,True,America/New_York,2,19902 19901 19904 19905 19906,1840005810
Wilmington,Wilmington,DE,Delaware,10003,New Castle,39.7415,-75.5416,71034,2517.3,shape,False,True,America/New_York,2,19802 19801 19806 19805 19809 19850 19880 19884 19885 19886 19890 19893 19894 19895 19896 19898 19899,1840005579
Middletown,Middletown,DE,Delaware,10003,New Castle,39.445,-75.7183,23573,726.8,shape,False,True,America/New_York,3,19709,1840005581
Glasgow,Glasgow,DE,Delaware,10003,New Castle,39.6015,-75.7473,15405,599.3,shape,False,False,America/New_York,3,19701 19702,1840005571
Pike Creek Valley,Pike Creek Valley,DE,Delaware,10003,New Castle,39.7294,-75.6989,11452,1540.4,shape,False,False,America/New_York,3,19808 19711,1840028614
Millsboro,Millsboro,DE,Delaware,10005,Sussex,38.5892,-75.3089,6876,519.6,shape,False,True,America/New_York,3,19966,1840006079
